utm_x,utm_y,lat,lon,file_street,file_house,file_match_type
694021.46,3439332.89,31.0717644,35.0336843,המעפיל,16,exact
694044.92,3439372.77,31.0721201,35.0339377,המעפיל,17,exact
694058.1,3439368.66,31.0720809,35.034075,המעפיל,19,exact
694136.98,3439372.61,31.0721035,35.0349021,המעפיל,21,exact
694148.77,3439336.35,31.0717745,35.0350187,המעפיל,22,exact
694182.04,3439337.48,31.0717792,35.0353674,המעפיל,26,exact
694176.44,3439380.19,31.0721653,35.035317,המעפיל,27,exact
694198.69,3439334.89,31.0717531,35.0355414,המעפיל,28,exact
694190.38,3439386.38,31.0722188,35.0354642,המעפיל,29,exact
694245.19,3439335.88,31.0717544,35.0360287,המעפיל,32,exact
694282.53,3439337.43,31.0717622,35.0364202,המעפיל,36,exact
694303.16,3439336.98,31.0717547,35.0366362,המעפיל,38,exact
694360.37,3439338.17,31.0717559,35.0372358,המעפיל,42,exact
694378.89,3439339.1,31.0717613,35.03743,המעפיל,44,exact
694251.04,3439377.17,31.0721257,35.0360979,המעפיל,47,exact
694261.92,3439382.41,31.0721712,35.0362129,המעפיל,49,exact
694437.21,3439339.34,31.0717538,35.038041,המעפיל,50,exact
694277.08,3439385,31.072192,35.0363722,המעפיל,51,exact
694290.03,3439383.25,31.0721741,35.0365075,המעפיל,53,exact
694541.11,3439350.07,31.0718333,35.0391315,המעפיל,54,exact
694304.81,3439390.79,31.0722396,35.0366638,המעפיל,55,exact
694558.95,3439347.9,31.0718108,35.039318,המעפיל,56,exact
694578,3439349.82,31.0718249,35.0395179,המעפיל,58,exact
694612.58,3439377.08,31.072065,35.0398854,המעפיל,59,exact
694593.91,3439350.68,31.0718301,35.0396848,המעפיל,60,exact
694643.58,3439376.24,31.0720523,35.04021,המעפיל,61,exact
694639.07,3439343.79,31.0717605,35.0401565,המעפיל,64,exact
694681.9,3439357.72,31.071879,35.0406079,המעפיל,65,exact
694660.4,3439336.18,31.0716883,35.0403785,המעפיל,66,exact
694695.89,3439350.68,31.0718132,35.0407531,המעפיל,67,exact
694674.31,3439323.05,31.0715676,35.0405217,המעפיל,68,exact
694711.72,3439335.87,31.071677,35.0409161,המעפיל,69,exact
694688.98,3439310.28,31.07145,35.0406729,המעפיל,70,exact
694720.69,3439321.37,31.0715447,35.0410073,המעפיל,71,exact
694701.67,3439300.97,31.0713639,35.0408041,המעפיל,72,exact
694765.12,3439279.24,31.0711575,35.0414646,המעפיל,73,exact
694782.3,3439265.46,31.0710304,35.0416419,המעפיל,75,exact
694728.86,3439266.99,31.071053,35.0410824,המעפיל,76,exact
694790.29,3439248.85,31.0708793,35.0417224,המעפיל,77,exact
694742.22,3439255.69,31.0709489,35.0412202,המעפיל,78,exact
694796.86,3439234.96,31.0707529,35.0417886,המעפיל,79,exact
694807.43,3439216.56,31.0705852,35.0418958,המעפיל,81,exact
694765.5,3439229.09,31.0707052,35.0414589,המעפיל,82,exact
694813.95,3439200.52,31.0704395,35.041961,המעפיל,83,exact
694777.9,3439210.08,31.0705317,35.0415852,המעפיל,84,exact
694823.68,3439161.25,31.0700838,35.0420553,המעפיל,85,exact
694836.62,3439151.73,31.0699958,35.0421891,המעפיל,87,exact
694814.02,3439127.63,31.0697822,35.0419477,המעפיל,88,exact
694826.84,3439115.66,31.0696722,35.0420797,המעפיל,90,exact
694857.87,3439128.84,31.0697859,35.0424073,המעפיל,91,exact
694838.39,3439107.04,31.0695925,35.042199,המעפיל,92,exact
694849.62,3439096.18,31.0694927,35.0423145,המעפיל,94,exact
694862.08,3439087.76,31.0694147,35.0424435,המעפיל,96,exact
694871.54,3439073.89,31.0692881,35.0425399,המעפיל,98,exact
694142.96,3439372.93,31.0721054,35.0349648,המעפיל,1205,exact
693972.85,3439276.81,31.0712667,35.0331643,טיילת הספורט,,street
693991.82,3438947.46,31.0682937,35.0332998,טיילת הספורט,4,exact
693992.05,3438974.65,31.0685388,35.0333074,טיילת הספורט,6,exact
693990.92,3439002.68,31.0687918,35.033301,טיילת הספורט,8,exact
693990.22,3439030.7,31.0690446,35.033299,טיילת הספורט,10,exact
693989.63,3439057.65,31.0692877,35.033298,טיילת הספורט,12,exact
693983.73,3439191.01,31.0704912,35.0332618,טיילת הספורט,18,exact
693987.84,3439271.9,31.07122,35.0333204,טיילת הספורט,24,exact
693984.71,3439301.09,31.0714837,35.0332932,טיילת הספורט,26,exact
693983,3439329.32,31.0717386,35.0332807,טיילת הספורט,28,exact
693991.93,3439408.39,31.0724501,35.0333894,טיילת הספורט,32,exact
693991.85,3439451.48,31.0728387,35.0333968,טיילת הספורט,34,exact
693993.88,3439506.96,31.0733386,35.0334288,טיילת הספורט,36,exact
693980.77,3439561.9,31.0738362,35.033302,טיילת הספורט,40,exact
693980.56,3439591.21,31.0741005,35.0333054,טיילת הספורט,42,exact
693979.68,3439645.31,31.0745885,35.0333066,טיילת הספורט,46,exact
